deck_slug,deck_name,deck_category,front_text,back_text,scripture_refs,difficulty
pentateuch,Pentateuch,Old Testament,"Who led the Israelites out of Egypt?","Moses (Exodus 3–14)","Exodus 3:10|Exodus 14:21-31",1
pentateuch,Pentateuch,Old Testament,"Which patriarch had twelve sons who became the tribes of Israel?","Jacob (also called Israel)","Genesis 35:22-26",1
pentateuch,Pentateuch,Old Testament,"Who received the Ten Commandments on Mount Sinai?","Moses","Exodus 20:1-17",1
pentateuch,Pentateuch,Old Testament,"Who interpreted Pharaoh's dreams about seven fat and seven lean cows?","Joseph","Genesis 41:1-36",2
pentateuch,Pentateuch,Old Testament,"Where was Abraham called to go by God?","Canaan (the Promised Land)","Genesis 12:1-7",1
pentateuch,Pentateuch,Old Testament,"What were the first words God spoke in creation?","Let there be light","Genesis 1:3",1
pentateuch,Pentateuch,Old Testament,"Who was the first man created by God?","Adam","Genesis 2:7",1
pentateuch,Pentateuch,Old Testament,"What did God create on the seventh day?","Nothing; He rested","Genesis 2:2-3",1
pentateuch,Pentateuch,Old Testament,"Who built the ark to survive the flood?","Noah","Genesis 6:13-22",1
pentateuch,Pentateuch,Old Testament,"What sign did God give Noah after the flood?","A rainbow","Genesis 9:12-17",1
pentateuch,Pentateuch,Old Testament,"Who was Abraham's nephew who escaped Sodom?","Lot","Genesis 19:1-29",2
pentateuch,Pentateuch,Old Testament,"What did Jacob see in his dream at Bethel?","A ladder (or stairway) reaching to heaven with angels","Genesis 28:10-17",2
pentateuch,Pentateuch,Old Testament,"What did God change Jacob's name to?","Israel","Genesis 32:28",1
pentateuch,Pentateuch,Old Testament,"Which son did Joseph's brothers sell into slavery?","Joseph himself","Genesis 37:12-28",1
pentateuch,Pentateuch,Old Testament,"What were the final plagues before Pharaoh released the Israelites?","Death of the firstborn","Exodus 11-12",2
historical,Historical Books,Old Testament,"Who became king of Israel after Saul?","David","1 Samuel 16:13",1
historical,Historical Books,Old Testament,"Which king built the first temple in Jerusalem?","Solomon","1 Kings 6:1-38",1
historical,Historical Books,Old Testament,"Who was the judge known for his great strength?","Samson","Judges 13-16",1
historical,Historical Books,Old Testament,"Which woman became a judge and prophetess in Israel?","Deborah","Judges 4-5",2
historical,Historical Books,Old Testament,"Who killed Goliath the Philistine giant?","David","1 Samuel 17",1
historical,Historical Books,Old Testament,"Which king had 700 wives and 300 concubines?","Solomon","1 Kings 11:3",2
historical,Historical Books,Old Testament,"Who succeeded Moses as leader of Israel?","Joshua","Joshua 1:1-9",1
historical,Historical Books,Old Testament,"What city's walls fell after the Israelites marched around them?","Jericho","Joshua 6:1-20",1
historical,Historical Books,Old Testament,"Who was Ruth's mother-in-law?","Naomi","Ruth 1:1-5",1
historical,Historical Books,Old Testament,"Which prophet anointed David as king?","Samuel","1 Samuel 16:13",2
historical,Historical Books,Old Testament,"Who was the first king of Israel?","Saul","1 Samuel 10:1",1
historical,Historical Books,Old Testament,"Which king divided Israel into two kingdoms?","Rehoboam (Solomon's son)","1 Kings 12:1-24",3
historical,Historical Books,Old Testament,"Who was taken up to heaven in a chariot of fire?","Elijah","2 Kings 2:11",2
historical,Historical Books,Old Testament,"Which king of Judah destroyed idols and restored temple worship?","Josiah","2 Kings 22-23",3
